test_name,timestamp,target_distance_m,encoder_distance_m,actual_distance_m,error_m,error_percent,commanded_speed_mps,elapsed_time_s,avg_rpm_l,avg_rpm_r
Test 1: 0.1m forward,2025-10-18T19:33:38.452998,0.1,0.11406517354310589,0.195,-0.08093482645689412,-41.50503920866365,0.25,1.128460168838501,28.772727272727273,-31.727272727272727
Test 2: 0.2m forward,2025-10-18T19:34:32.631787,0.2,0.22284883086033916,0.34,-0.11715116913966087,-34.45622621754731,0.25,1.8459093570709229,34.80555555555556,-37.333333333333336
Test 3: 0.3m forward,2025-10-18T19:36:02.287741,0.3,0.32082680153678855,0.458,-0.13717319846321147,-29.950480013801627,0.25,2.359027862548828,40.04347826086956,-41.19565217391305
Test 4: 0.4m forward,2025-10-18T19:36:49.996173,0.4,0.4097815772400896,0.56,-0.15021842275991043,-26.824718349984,0.25,2.8198740482330322,42.70909090909091,-44.09090909090909
Test 5: 0.5m forward,2025-10-18T19:37:26.865923,0.5,0.5098927747039449,0.702,-0.19210722529605506,-27.365701609124653,0.25,3.3323376178741455,45.41538461538462,-45.96923076923077
Test 6: 0.6m forward,2025-10-18T19:38:14.241883,0.6,0.6178895777744544,0.82,-0.20211042222554554,-24.647612466529946,0.25,3.843242883682251,47.54666666666667,-48.46666666666667
Test 7: 0.7m forward,2025-10-18T19:38:54.241358,0.7,0.7293803892061305,0.96,-0.2306196107938695,-24.022876124361407,0.25,4.357650518417358,49.56470588235294,-50.37647058823529
Test 8: 0.8m forward,2025-10-18T19:39:31.385171,0.8,0.8203920194273087,1.075,-0.2546079805726913,-23.684463309087565,0.25,4.7669172286987305,51.32258064516129,-51.44086021505376
