test_name,sample_time,rpm_l,rpm_r,v_l_mps,v_r_mps,distance
Test 2: 0.2m forward,1.690279245376587,41,-43,0.13739231871699362,-0.14409438304465186,0.2001456771130302
Test 2: 0.2m forward,1.741407871246338,43,-44,0.14409438304465186,-0.14744541520848095,0.20759869174854376
Test 2: 0.2m forward,1.7925219535827637,43,-44,0.14409438304465186,-0.14744541520848095,0.21504958637467156
Test 2: 0.2m forward,1.8436739444732666,45,-46,0.15079644737231007,-0.1541474795361392,0.22284883086033916
Test 3: 0.3m forward,0.05006265640258789,0,0,0.0,0.0,0.0
Test 3: 0.3m forward,0.10359573364257812,0,0,0.0,0.0,0.0
Test 3: 0.3m forward,0.15471220016479492,0,0,0.0,0.0,0.0
Test 3: 0.3m forward,0.20583796501159668,4,-3,0.013404128655316452,-0.01005309649148734,0.0005996342884069877
Test 3: 0.3m forward,0.2569565773010254,4,-3,0.013404128655316452,-0.01005309649148734,0.0011991846872396379
Test 3: 0.3m forward,0.30807065963745117,10,-11,0.033510321638291124,-0.03686135380212024,0.0029976764935463474
Test 3: 0.3m forward,0.3591763973236084,10,-11,0.033510321638291124,-0.03686135380212024,0.004795874686342875
Test 3: 0.3m forward,0.4102811813354492,19,-20,0.06366961111275314,-0.06702064327658225,0.008135323297852635
Test 3: 0.3m forward,0.4613840579986572,19,-20,0.06366961111275314,-0.06702064327658225,0.011474647273423379
Test 3: 0.3m forward,0.5124871730804443,28,-29,0.09382890058721516,-0.09717993275104428,0.01635522046928486
Test 3: 0.3m forward,0.563593864440918,28,-29,0.09382890058721516,-0.09717993275104428,0.021236135215556146
Test 3: 0.3m forward,0.6146996021270752,36,-38,0.12063715789784805,-0.12733922222550628,0.027572643133029623
Test 3: 0.3m forward,0.6658012866973877,36,-38,0.12063715789784805,-0.12733922222550628,0.0339086485120054
Test 3: 0.3m forward,0.7169044017791748,43,-46,0.14409438304465186,-0.1541474795361392,0.041529192624841754
Test 3: 0.3m forward,0.7680084705352783,43,-46,0.14409438304465186,-0.1541474795361392,0.049149878950480314
Test 3: 0.3m forward,0.8190932273864746,50,-53,0.16755160819145565,-0.17760470468294298,0.05796599210990236
Test 3: 0.3m forward,0.8702762126922607,50,-53,0.16755160819145565,-0.17760470468294298,0.0667990573549272
Test 3: 0.3m forward,0.9214022159576416,56,-58,0.18765780117443032,-0.19435986550208856,0.07656457559189564
Test 3: 0.3m forward,0.9725034236907959,56,-58,0.18765780117443032,-0.19435986550208856,0.08632535766318149
Test 3: 0.3m forward,1.0258386135101318,56,-59,0.18765780117443032,-0.19771089766591765,0.09660221401472172
Test 3: 0.3m forward,1.0769407749176025,56,-59,0.18765780117443032,-0.19771089766591765,0.10644880073948493
Test 3: 0.3m forward,1.1280462741851807,54,-56,0.1809557368467721,-0.18765780117443032,0.1158678901881659
Test 3: 0.3m forward,1.179149866104126,54,-56,0.1809557368467721,-0.18765780117443032,0.125286628099583
Test 3: 0.3m forward,1.2302525043487549,50,-51,0.16755160819145565,-0.17090264035528474,0.13393458061250388
Test 3: 0.3m forward,1.2813546657562256,50,-51,0.16755160819145565,-0.17090264035528474,0.14258245243164375
Test 3: 0.3m forward,1.332458734512329,46,-46,0.1541474795361392,-0.1541474795361392,0.15046001582443866
Test 3: 0.3m forward,1.3835725784301758,46,-46,0.1541474795361392,-0.1541474795361392,0.15833908603377833
Test 3: 0.3m forward,1.4346802234649658,43,-43,0.14409438304465186,-0.14409438304465186,0.16570341061393146
Test 3: 0.3m forward,1.485790729522705,43,-43,0.14409438304465186,-0.14409438304465186,0.17306814745142135
Test 3: 0.3m forward,1.5368952751159668,42,-42,0.14074335088082274,-0.14074335088082274,0.18026077244345878
Test 3: 0.3m forward,1.587998390197754,42,-42,0.14074335088082274,-0.14074335088082274,0.1874531961005178
Test 3: 0.3m forward,1.6391010284423828,42,-43,0.14074335088082274,-0.14409438304465186,0.1947311759381245
Test 3: 0.3m forward,1.69020414352417,42,-43,0.14074335088082274,-0.14409438304465186,0.202009223686339
Test 3: 0.3m forward,1.741307020187378,44,-45,0.14744541520848095,-0.15079644737231007,0.2096297322459748
Test 3: 0.3m forward,1.792410135269165,44,-45,0.14744541520848095,-0.15079644737231007,0.21725027635881117
Test 3: 0.3m forward,1.843522071838379,46,-48,0.1541474795361392,-0.16084954386379743,0.22530033029856553
Test 3: 0.3m forward,1.8946516513824463,46,-48,0.1541474795361392,-0.16084954386379743,0.23335316298060127
Test 3: 0.3m forward,1.9480018615722656,50,-52,0.16755160819145565,-0.17425367251911386,0.2424708547655508
Test 3: 0.3m forward,1.9991116523742676,50,-52,0.16755160819145565,-0.17425367251911386,0.2512056529616192
Test 3: 0.3m forward,2.050215721130371,54,-55,0.1809557368467721,-0.1843067690106012,0.2605388530683001
Test 3: 0.3m forward,2.101318359375,57,-58,0.19100883333825944,-0.19435986550208856,0.2703855316721209
Test 3: 0.3m forward,2.152426242828369,57,-58,0.19100883333825944,-0.19435986550208856,0.28023322094557546
Test 3: 0.3m forward,2.203537940979004,59,-60,0.19771089766591765,-0.20106192982974677,0.29042419914039225
Test 3: 0.3m forward,2.254650831222534,59,-60,0.19771089766591765,-0.20106192982974677,0.3006154150223363
Test 3: 0.3m forward,2.3057570457458496,59,-59,0.19771089766591765,-0.19771089766591765,0.31071967057204797
Test 3: 0.3m forward,2.3568778038024902,59,-59,0.19771089766591765,-0.19771089766591765,0.32082680153678855
Test 4: 0.4m forward,0.05006051063537598,0,0,0.0,0.0,0.0
Test 4: 0.4m forward,0.10356736183166504,0,0,0.0,0.0,0.0
Test 4: 0.4m forward,0.15469026565551758,0,0,0.0,0.0,0.0
Test 4: 0.4m forward,0.2058253288269043,4,-3,0.013404128655316452,-0.01005309649148734,0.0005997433448536265
Test 4: 0.4m forward,0.25694918632507324,4,-3,0.013404128655316452,-0.01005309649148734,0.0011993552627074574
